Designator,Mid X,Mid Y,Rotation,Layer
BT1,146.543756,-72.25,90.0,top
C1,104.26,-67.95,0.0,top
C2,130.435732,-70.9,180.0,top
C3,128.43,-79.71,0.0,top
D1,123.05,-55.46,180.0,top
D2,122.9725,-58.93,0.0,top
D3,122.9725,-61.97,0.0,top
D4,122.9725,-65.01,0.0,top
R2,95.7125,-55.05,0.0,top
R4,95.9275,-61.19,0.0,top
R5,131.7225,-55.79,180.0,top
R6,131.5675,-59.17,0.0,top
R7,131.5675,-62.12,0.0,top
R8,131.5675,-65.07,0.0,top
RV1,96.26,-68.03,180.0,top
SW1,151.09,-50.54,180.0,top
U1,104.155,-59.435,270.0,top
U2,114.295,-60.165,0.0,top
